zip,new_tenure,avg_contract_value,distance_in_miles,population_current,gender_male,age_median,race_white,crime_overall,households_total,households_value,households_yearbuilt,households_occupancy_owned,income_average,income_median,costs_overall,P1,P2,Rank1,N1,N2,Rank2,Symbol,city,state
22408,293.8593,410.6583,43.7403,27949,47.83,36,71.69,56,9594,281650,1991,80.53,99267,84804,101,0.216758,0.163934,3,0.030256,0.039472,0.049734,VA,Fredericksburg,Virginia
22485,456.25,509,39.74,24044,50.94,38,76.8,123,8591,302632,1986,81.15,98273,84457,104,0.756831,0.935337,4,0.046977,0.048925,0.067826,VA,King George,Virginia
22508,733.1029,480.2941,40.32176,12627,48.75,44,85.36,52,4880,298019,1992,86.54,91278,77341,114,0.974499,0.832423,5,0.075482,0.046166,0.08848,VA,Locust Grove,Virginia
22509,365,485,42.87,71,51.95,44,42.67,147,28,170033,1980,81.97,69551,50121,90,0.443534,0.854281,3,0.037581,0.046618,0.05988,VA,Loretto,Virginia
22551,580.4783,428.4348,44.17174,20137,49.44,40,83.1,73,6982,261775,1986,84.34,90532,77006,101,0.928962,0.369763,3,0.059767,0.041181,0.072581,VA,Spotsylvania,Virginia
22553,419.1543,424.5957,45.25319,12863,48.85,38,79.96,46,4218,359361,1991,84.87,105224,98089,101,0.666667,0.326047,3,0.043157,0.040812,0.059398,VA,Spotsylvania,Virginia
22554,348.2763,419.612,30.1551,51504,49.81,34,67.04,62,16603,362049,1992,73.14,121967,109320,101,0.364299,0.249545,3,0.035859,0.040333,0.053969,VA,Stafford,Virginia
22556,461.6218,436.5325,28.3574,28349,51.49,34,70.55,73,8547,368748,1992,81.55,119433,109405,95,0.770492,0.477231,3,0.04753,0.041959,0.063401,VA,Stafford,Virginia
22611,966,276,16.99,9127,48.4,44,89.89,111,3500,395388,1968,72.37,99244,82875,113,0.998179,0.006375,3,0.099462,0.026529,0.102939,VA,Berryville,Virginia
22709,189,357,17.78,733,48.4,41,82.28,119,264,257795,1977,79.08,78705,64241,99,0.055556,0.051002,1,0.01946,0.034315,0.039448,VA,Aroda,Virginia
22718,73,566,34.03,972,50.44,40,75.84,140,348,304041,1968,62.85,77996,57826,94,0.008197,0.983607,2,0.007516,0.054404,0.05492,VA,Elkwood,Virginia
22960,547.5,755,59.77,10839,49.7,42,78.3,131,4112,237224,1968,66.69,65135,54643,96,0.887067,1,5,0.056372,0.07257,0.091892,VA,Orange,Virginia
75001,260.3,414.6,4.2305,12895,47.99,34,64.62,64,7349,257307,1989,22.17,77532,65574,146,0.160291,0.205829,2,0.026801,0.039851,0.048025,TX,Addison,Texas
